taxon	freq
Lepisosteidae	13
Raphidioptera	13
Unionoida	13
Panorpidae	13
Piranga	13
Lutjanidae	13
Osteoglossiformes	13
Dioscorea	13
Oophaga	13
Hippopotamidae	13
Phaeophyceae	13
Nepenthes	13
Chamaeleo	13
Empusidae	13
Tauraco	13
Nepenthaceae	13
Rhinocerotidae	13
Papio	13
Adelidae	13
Cheirogaleidae	13
Geoemydidae	13
Sorex	13
Linaceae	13
Physarales	13
Helotiales	13
Tigridia	13
Dipodidae	13
Thalassarche	12
Actiniidae	12
Jasminum	12
Reduviidae	12
Solenostomidae	12
Caeciliidae	12
Tephritidae	12
Oecophoridae	12
Otididae	12
Myrmeleontidae	12
Trionychidae	12
Chimaeridae	12
Gasterosteiformes	12
Hypnales	12
Ateles	12
Solenostomus	12
Calliphoridae	12
Hemitragus	12
Dipodomys	12
Amphipoda	12
Sargocentron	12
Beloniformes	12
Raphidiidae	12
Droseraceae	12
Hyperolius	12
Pterophoridae	12
Medicago	12
Chlamydomonadales	12
Kobus	12
Cephalaspidomorphi	12
Galbuliformes	12
Maxillopoda	12
Carex	12
Physaraceae	12
Cetartiodactyla	12
Juncus	12
Theaceae	12
Petromyzontiformes	12
Aquilegia	12
Neotinea	12
Hydrodictyaceae	12
Lupinus	12
Desmognathus	12
Pediastrum	12
Phrynosoma	12
Loxodonta	12
Arhynchobdellida	12
Dasyuridae	12
Megascops	12
Thalasseus	12
Mus	12
Staphylinidae	12
Ulvophyceae	12
Limosa	12
Magnoliaceae	12
Ailuropoda	12
Lepanthes	12
Tockus	11
Orcinus	11
Crocodylus	11
Camarodonta	11
Valvatida	11
Clupeiformes	11
Talpidae	11
Cucumariidae	11
Caretta	11
Dendrochirotida	11
Phoenicopteridae	11
Haemodoraceae	11
Tessaratomidae	11
Platanthera	11
Uraeginthus	11
Viola	11
Entolomataceae	11
silene	11
Dermaptera	11
Hyaenidae	11
Phidippus	11
Bubo	11
Ara	11
Perlodidae	11
Hypsignathus	11
Trogoniformes	11
magnolia	11
Hemaris	11
Erigeron	11
Bathyergidae	11
Streptopelia	11
Polypteridae	11
Buthidae	11
Lechenaultia	11
Acinonyx	11
Trematoda	11
Hirudinida	11
Tetragnathidae	11
Bos	11
Trogonidae	11
Cygnus	11
Strabomantidae	11
Sordariomycetes	11
Phoenicopteriformes	11
Polyporaceae	11
Pleurothallis	11
Giraffa	11
Anacamptis	11
Zonotrichia	11
Megachilidae	11
Protea	11
Dinophyceae	11
Mullidae	11
Endomychidae	11
Nanonycteris	11
Gallicolumba	11
Geoplanoidea	11
Pomacanthidae	11
Polypteriformes	11
Lycopodiopsida	11
Threskiornis	11
Hystricidae	11
Carabus	11
Numenius	11
Eurotatoria	11
Polemoniaceae	11
Cardiidae	11
Rhacophoridae	11
Stercorariidae	11
Violaceae	11
Hydrobatidae	11
Scarus	11
Himantopus	11
Calandrella	11
Stercorarius	11
Lamniformes	10
Lamprotornis	10
Pyrgomorphidae	10
Leptotyphlopidae	10
Strophariaceae	10
Arenaria	10
Ceramiales	10
Alcedo	10
Leptodactylus	10
Bombycilla	10
Ulmaridae	10
Rosa	10
Sulidae	10
Hystrix	10
Sepiida	10
Dendrocoelidae	10
Dolichopodidae	10
Hapalemur	10
Hyracoidea	10
Herpestes	10
Lepismatidae	10
Aeshna	10
Pyralidae	10
Crassulaceae	10
Ploceidae	10
Petromyzontidae	10
Parmeliaceae	10
Sepiidae	10
Cossidae	10
Dipsacaceae	10
Mirounga	10
Empusa	10
Wurmbea	10
Calochortus	10
Furcifer	10
Hyles	10
Gryllidae	10
Rhizostomeae	10
Hippopotamus	10
Procaviidae	10
Bombycillidae	10
Dasyatidae	10
Gasteracantha	10
Arion	10
Paradoxosomatidae	10
Lilium	10
Leptodactylidae	10
Podiceps	10
Elaphodus	10
Silphidae	10
Archilochus	10
Lepidochelys	10
Damaliscus	10
Brunfelsia	10
Pluvialis	10
Vespidae	10
Centrarchidae	10
Gadus	10
Isoptera	10
Leopardus	10
Sesiidae	10
Cuculus	10
Trichechus	10
Macroglossum	10
Gazella	10
Pseudacris	10
acacia	10
Ramphastos	10
Neophoca	10
indri	10
Marchantiopsida	10
Agama	10
Aristolochiaceae	10
Aythya	10
Romaleidae	10
Trichechidae	10
Masdevallia	10
Monotremata	10
Pyxicephalidae	10
prunus	10
Erodium	10
Afrosoricida	10
Eleutherodactylus	10
Lepisosteus	10
Pterodroma	10
Turtur	10
Microcebus	10
Butorides	10
Gentiana	10
cephalanthera	10
Conjugatophyceae	9
Desmidiales	9
Sepia	9
Strix	9
Chinchillidae	9
Picoides	9
Platycercus	9
Apogonidae	9
Dytiscidae	9
Ceratophryidae	9
Poeciliidae	9
Zalophus	9
