taxon	freq
Dalceridae	2
Petrosiidae	2
Polyceridae	2
Scheuchzeriaceae	2
Psephenidae	2
Fistulariidae	2
Trachinidae	2
Lecideaceae	2
Graphidaceae	2
Berothidae	2
Aeginidae	2
Hippolytidae	2
Helicocephalidaceae	2
Zosteropidae	2
Synanceiidae	2
Termitidae	2
Heleomyzidae	2
Coryphodontidae	2
Meripilaceae	2
Lecythidaceae	2
Crangonyctidae	2
Lophiidae	2
Styracaceae	2
Maluridae	2
Julidae	2
Velutinidae	2
Vertiginidae	2
Sphaeriidae	2
Chironomidae	2
Pallopteridae	2
Steatornithidae	2
Histioteuthidae	2
Parechinidae	2
Todidae	2
Zanclidae	2
Ariidae	2
Echinidae	2
Polioptilidae	2
Joubiniteuthidae	2
Geotriidae	2
Nephropidae	2
Polytrichaceae	2
Pedetidae	2
Galatheidae	2
Tremellaceae	2
Siricidae	2
Rousseaceae	2
Verrucariaceae	2
Globulariaceae	2
Hemitripteridae	2
Pellorneidae	1
Ceratobatrachidae	1
Chiroteuthidae	1
Hydrangeaceae	1
Acrocirridae	1
Geodiidae	1
Rhineuridae	1
Thiaridae	1
Heliozelidae	1
Aramidae	1
Ethmiidae	1
Hookeriaceae	1
Upupidae	1
Osmundaceae	1
Fasciolidae	1
Enterobacteriaceae	1
Anhimidae	1
Pasiphaeidae	1
Ptinidae	1
Clathrinidae	1
Veronicellidae	1
Mugilidae	1
Atollidae	1
Alvinocarididae	1
Varroidae	1
Codonellopsidae	1
Triuridaceae	1
Anthicidae	1
Ammodytidae	1
Alucitidae	1
Ptychadenidae	1
Anomalopidae	1
Aulorhynchidae	1
Eriocaulaceae	1
Kogiidae	1
Heterocheilidae	1
Euctenizidae	1
Pteriidae	1
Sicyoniidae	1
Sphaeromyxidae	1
Platanaceae	1
Pectinatellidae	1
Trachichthyidae	1
Nothofagaceae	1
Xyloryctidae	1
Oweniidae	1
Andreaeaceae	1
Leucosiidae	1
Trichodectidae	1
Phylloscopidae	1
Clionidae	1
Carychiidae	1
Oligotomidae	1
Atherinidae	1
Dalatiidae	1
Lepidochitonidae	1
Polygyridae	1
Incurvariidae	1
Trichonotidae	1
Ischyroceridae	1
Hymenoceridae	1
Antedonidae	1
Tarsipedidae	1
Stichaeidae	1
Megaspilidae	1
Aphelinidae	1
Polychelidae	1
Volutidae	1
Iridopterygidae	1
Ophidiasteridae	1
Chlopsidae	1
Eolepadidae	1
Hexamitidae	1
Porcellionidae	1
Toxotidae	1
Ascidiidae	1
Phenacodontidae	1
Phaeomyiidae	1
Schistostegaceae	1
Ophiotrichidae	1
Mylodontidae	1
Galaxauraceae	1
Fumariaceae	1
Nasikabatrachidae	1
Gelechiidae	1
Marcgraviaceae	1
Cyrenidae	1
Amphiporidae	1
Sarcoscyphaceae	1
Hirudisomatidae	1
Loasaceae	1
Pedicinidae	1
Hystrichopsyllidae	1
Opisthorchiidae	1
Mucoraceae	1
Columbellidae	1
Amblyopsidae	1
Vorticellidae	1
Sicariidae	1
Pichiaceae	1
Argidae	1
Caesionidae	1
Lariosauridae	1
Urolophidae	1
Polycystididae	1
Hexanchidae	1
Catarrhini	1
Gempylidae	1
Tintinnidiidae	1
Conochilidae	1
Coriolaceae	1
Euryleptidae	1
Acrochordidae	1
Chloropseidae	1
Aniliidae	1
Pthiridae	1
Pelomedusidae	1
Polybiidae	1
Roeslerstammiidae	1
Phytolaccaceae	1
Aplocheilidae	1
Atrichornithidae	1
Dermatemydidae	1
Palaeotheriidae	1
Belonidae	1
Bolboceratidae	1
Trichiuridae	1
